Pizza		
Végétarienne	Tomate fraîche ,tapenade d'olive , totmate séchées, oignons	9
Jambon Mozza	Blancs de volaille , base Mozzarella , parmesan,tomate fraîche,oignons	10
Trois Fromage	Mozzarella, chèvre , gorgonzola,tomate fraîche , sauce tomate	10
Régina	Jambon cuit , champignon de Paris frais , mozzarella , sauce tomate, oignons	11
Margharita	Fromage mozzarella , sauce tomate , olive , origan	12
Vesuvio	Chorizo, Poivron frai , oignons rouge , dés de tomates, oignons	11
Merguez	Merguez boeuf et mouton , oignons rouges , dés de tomates, sauce tomate	11
Déssert		
Café gourmand du chef	Café,décaféiné ou thé avec Gauffre ou Moelleux au chocolat	5
Moelleux au chocolat	Moelleux au chocolat,amandes grillées , tout juste sortie du four	7
Crousti poire caramel	Mini-pizza cuite à la minute, crème d'amandes , poire caramel au beure salé maison	7
Mousse au chocolat	Du chocolat noir fondant allégé aux blancs d'oeufs	6,5
Glaces		
Coupe Antillaise	Rhum-raisin (3boules), rhum (3cL)	3
Colonel italien	Citron (3 boules) , Grappa Piave (3cL)	3,2
Fresca coulis de framboise	Sorbets : Citron , Framboise , fruit de al passion , coulis de framboise fraîche	4,5
